Sample,ATP5PF,ATP6V0E1,PIGX,SPCS1,GABARAPL2,DDT,SDR
7_P0126,0.328810845,0.654212898,0.009454978,0.325081721,0.343339949,0.183663464,0
7_P0189,0.038336816,0.083945406,0.001986384,0.06059586,0.04561702,0.047688106,0
7_P0143,0.036586416,0.224684594,0.002738635,0.037875295,0.061944067,0.045371864,0
7_TDM0393,0.065801523,0.168631627,0.00270619,0.09978103,0.089484649,0.0757061,0
7_KMUH0428,0.055499378,0.404807103,0.005535828,0.1118796,0.093258917,0.06804382,0
2_TDM0377,0.027056306,0.089708097,0.003903987,0.039121157,0.031707546,0.03318007,0
8_KMUH0437,0.008666802,0.030268475,0.000635395,0.011059957,0.011615106,0.016957292,0
7_KMUH0434,0.012469969,0.188975793,0.000969241,0.025701101,0.027051548,0.034216406,0
3_KMTH0018,0.030072587,0.090258783,0.001526282,0.075951086,0.032297268,0.017218755,0
3_KMTH0019,0.030033451,0.072269044,0.001740805,0.05158105,0.034857321,0.024746673,0
7_KMUH0530,0.137003383,0.56878821,0.006805964,0.143244474,0.166572128,0.230418493,0
7_KMUH0450,0.049598059,0.206701155,0.000830014,0.020074117,0.031157905,0.029951904,0
7_TDM0052,0.067522252,0.289348179,0.002954654,0.08587315,0.094302985,0.078772691,0
7_KMTH0034,0.080216035,0.358393895,0.006691215,0.105723569,0.136477769,0.068348691,0
7_P0018,0.081234108,0.518585228,0.004056627,0.131767953,0.167871564,0.102011301,0
7_KMTH0010,0.047561552,0.260628439,0.001971673,0.05684681,0.073344071,0.065284064,0
7_P0138,0.056698748,0.18206205,0.002679301,0.073893941,0.086895021,0.078817905,0
3_KMTH0020,0.029165871,0.106739208,0.00196654,0.022164713,0.031289701,0.022315993,0
7_TDM0323,0.141416865,0.469898471,0.002889036,0.16736148,0.204019096,0.22484826,0
7_TDM0349,0.024668281,0.102100539,0.002167311,0.036837274,0.041851171,0.028215866,0
7_TDM0017,0.040986982,0.098528528,0.001941844,0.04930232,0.080173748,0.089215258,0
7_KMTH0026,0.106725721,0.356422242,0.002273247,0.123559748,0.115976684,0.102714621,0
7_P0197,0.058059171,0.305289306,0.002442008,0.071483774,0.091551313,0.063733021,0
7_KMUH0436,0.013181849,0.151947536,0.00062244,0.024055486,0.032750035,0.047345729,0
6_1HP0045,0.045553075,0.131230227,0.003888048,0.096811074,0.061453466,0.07322043,0
7_KMUH0580,0.10759858,0.412813359,0.005491336,0.115600042,0.117607537,0.071828771,0
7_KMTH0551,0.031938463,0.219114904,0.001186742,0.041543813,0.040074013,0.050936201,0
3_TDM0467,0.026697329,0.095185225,0.00210493,0.028842759,0.04475487,0.022499111,0
7_KMTH0559,0.056501669,0.261556441,0.002495476,0.079659551,0.082162046,0.077909251,0
7_KMUH0153,0.073526756,0.301327427,0.004835831,0.103283013,0.105698284,0.068199542,0
7_KMUH0451,0.01843103,0.32733363,0.000623504,0.026571957,0.038951826,0.039297936,0
3_Co0491,0.003505759,0.030070573,0.000413838,0.005063927,0.004764373,0.004932773,0
3_KMUH0453,0.011708227,0.045970769,0.000767671,0.028029381,0.013356897,0.009697158,0
3_KMTH0694,0.02542104,0.108362753,0.002383589,0.024138804,0.027105759,0.014628262,0
3_Co0465,0.002490884,0.043191625,0.000730736,0.003535659,0.003734068,0.003723346,0
7_TDM0203,0.095260136,0.161213448,0.004647735,0.113438965,0.111481658,0.117015515,0
7_P0141,0.061188819,0.343294538,0.001613174,0.089379739,0.08664721,0.08445525,0
7_KMHK0103,0.067137777,0.317891086,0.006315934,0.071108828,0.115422501,0.059982041,0
7_P0103,0.07602674,0.195644187,0.004673181,0.109873552,0.099298498,0.112546828,0
8_KMTH0013,0.016652854,0.058806349,0.000754702,0.013987634,0.014901124,0.020323233,0
3_Co0516,0.02921738,0.147304392,0.003170762,0.040563651,0.031080711,0.025198579,0
7_KMUH0036,0.105657567,0.340947241,0.00779341,0.136818672,0.149857525,0.094801666,0
7_TDM0319,0.039881737,0.270945408,0.001472706,0.057163306,0.05833775,0.090699041,0
7_KMTH0017,0.162288136,0.610444937,0.012758507,0.203803746,0.237747588,0.141948539,0
7_KMHK0006,0.059734768,0.318444763,0.00382195,0.077195238,0.094548196,0.084825881,0
7_TDM0216,0.073321957,0.288811071,0.001776034,0.112947887,0.088356722,0.088663395,0
7_KMUH0445,0.069803207,0.211728515,0.003615102,0.079537088,0.066376519,0.072666444,0
